"MCQ300b.Code.or.Value","MCQ300b.Value.Description","MCQ300b.Count","MCQ300b.Cumulative","MCQ300b.Skip.to.Item"
"1","Yes",2022,2022,NA
"2","No",6160,8182,NA
"7","Refused",0,8182,NA
"9","Don't know",184,8366,NA
".","Missing",1209,9575,NA
