"LBXIN.Code.or.Value","LBXIN.Value.Description","LBXIN.Count","LBXIN.Cumulative","LBXIN.Skip.to.Item"
"0.88 to 320.22","Range of Values",3337,3337,NA
".","Missing",244,3581,NA
