"DR2TCAFF.Code.or.Value","DR2TCAFF.Value.Description","DR2TCAFF.Count","DR2TCAFF.Cumulative","DR2TCAFF.Skip.to.Item"
"0 to 2578","Range of Values",8264,8264,NA
".","Missing",1686,9950,NA
