Source Term Id,Source Term,Mapped Term Label,Mapped Term IRI,Mapping Score
OHX11TC,Tooth Count: #11,count unit,http://purl.obolibrary.org/obo/UO_0000189,0.5001900714851659
OHX12TC,Tooth Count: #12,count unit,http://purl.obolibrary.org/obo/UO_0000189,0.5211477273485674
OHX18TC,Tooth Count: #18,count unit,http://purl.obolibrary.org/obo/UO_0000189,0.508714164578914
OHX20TC,Tooth Count: #20,count unit,http://purl.obolibrary.org/obo/UO_0000189,0.5041099669721177
OHX22TC,Tooth Count: #22,count unit,http://purl.obolibrary.org/obo/UO_0000189,0.5106489174011654
OHX30TC,Tooth Count: #30,count unit,http://purl.obolibrary.org/obo/UO_0000189,0.5248424110425847
PHAFSTHR,Total length of food fast hours,length unit,http://purl.obolibrary.org/obo/UO_0000001,0.5315178767742529
PHAFSTMN,Total length of food fast minutes,length unit,http://purl.obolibrary.org/obo/UO_0000001,0.5206674976751928
PHAGUMMN,Gum mints cough fast time (minutes),minute,http://purl.obolibrary.org/obo/UO_0000031,0.5016839696794336
URXUHG,Mercury urine (ng/mL),millimetres of mercury,http://purl.obolibrary.org/obo/UO_0000272,0.5017197965768152
LBXZBZ,Benzene (ug/cubic meter),cubic meter,http://purl.obolibrary.org/obo/UO_0000096,0.7384934985199713
LBXZCF,Chloroform (ug/cubic meter),cubic meter,http://purl.obolibrary.org/obo/UO_0000096,0.6833241852921293
LBXZDB,14-dichlorobenzene (ug/cubic meter),cubic meter,http://purl.obolibrary.org/obo/UO_0000096,0.607924616599252
LBXZEB,Ethylbenzene (ug/cubic meter),cubic meter,http://purl.obolibrary.org/obo/UO_0000096,0.6366726286888522
LBXZMB,MTBE (ug/cubic meter),cubic meter,http://purl.obolibrary.org/obo/UO_0000096,0.7174218575827135
LBXZOX,o-Xylene (ug/cubic meter),cubic meter,http://purl.obolibrary.org/obo/UO_0000096,0.6971943877720159
LBXZTE,Tetrachloroethene (ug/cubic meter),cubic meter,http://purl.obolibrary.org/obo/UO_0000096,0.6296909565616045
LBXZTI,Trichloroethene (ug/cubic meter),cubic meter,http://purl.obolibrary.org/obo/UO_0000096,0.6475578456128283
LBXZTO,Toluene (ug/cubic meter),cubic meter,http://purl.obolibrary.org/obo/UO_0000096,0.7395754072749516
LBXZXY,mp-Xylene (ug/cubic meter),cubic meter,http://purl.obolibrary.org/obo/UO_0000096,0.6615095534119106
VTQ015,Wear the exposure badge at all times?,exposure unit,http://purl.obolibrary.org/obo/UO_0000131,0.5607691085212866
LBXBAPCT,Basophils percent (%),percent,http://purl.obolibrary.org/obo/UO_0000187,0.5188503921908229
LBXMCVSI,Mean cell volume (fL),volume per unit volume,http://purl.obolibrary.org/obo/UO_0000205,0.6247707056383263
LBXMOPCT,Monocyte percent (%),percent,http://purl.obolibrary.org/obo/UO_0000187,0.5504963828702217
LBXMPSI,Mean platelet volume (fL),volume per unit volume,http://purl.obolibrary.org/obo/UO_0000205,0.5577623568760685
SSISR,Specimen Index ratio,ratio,http://purl.obolibrary.org/obo/UO_0010006,0.506329668354675
SSBETA,Beta,peta,http://purl.obolibrary.org/obo/UO_0000290,0.502279468177144
SSKL_R,K/L Ratio,ratio,http://purl.obolibrary.org/obo/UO_0010006,0.8268198299369192
SSOL_H,Heavy chain MGUS,chain,http://purl.obolibrary.org/obo/UO_0010015,0.5292128483041655
SSOL_L,Light chain MGUS,chain,http://purl.obolibrary.org/obo/UO_0010015,0.5819016477770912
TeloMean,Mean T/S ratio,ratio,http://purl.obolibrary.org/obo/UO_0010006,0.718409835113992
SSGI1CM,Mean antibody concentration for GI.1 ag,concentration unit,http://purl.obolibrary.org/obo/UO_0000051,0.5587923824258891
SSGI4CM,Mean antibody concentration for GI.4 ag,concentration unit,http://purl.obolibrary.org/obo/UO_0000051,0.5575815947008584
SSGI4ODM,Mean optical density for GI.4 ag,density unit,http://purl.obolibrary.org/obo/UO_0000182,0.5119297816339823
SSCMV,CMV specific IgG results,specific volume unit,http://purl.obolibrary.org/obo/UO_0000059,0.5036935385215496
CIQG04,WTA frequency,frequency unit,http://purl.obolibrary.org/obo/UO_0000105,0.8272687289082854
CIQD002,Sad empty depressed (SED) frequency,frequency unit,http://purl.obolibrary.org/obo/UO_0000105,0.5060335428470459
CIQD005,When SED did you lack energy?,energy unit,http://purl.obolibrary.org/obo/UO_0000111,0.6084401869641571
CIQD009,Loss of interest frequency,frequency unit,http://purl.obolibrary.org/obo/UO_0000105,0.6875563359110495
CIQD012,When lost interest did you lack energy?,energy unit,http://purl.obolibrary.org/obo/UO_0000111,0.5223950394168427
CIQD015,Irritable frequency,frequency unit,http://purl.obolibrary.org/obo/UO_0000105,0.6533400179197006
CIQD026,Frequency trouble sleeping,frequency unit,http://purl.obolibrary.org/obo/UO_0000105,0.5693653479312601
CIQD057,Ended past month 6 months more than 6?,month,http://purl.obolibrary.org/obo/UO_0000035,0.625579224500822
CIQP13A,Did your heart pound or race?,pound,http://purl.obolibrary.org/obo/UO_0010034,0.5083585807352065
ALQ140U,# days per week month year?,week,http://purl.obolibrary.org/obo/UO_0000034,0.539102798691254
DED100A,1st Chemical/substance listed,substance unit,http://purl.obolibrary.org/obo/UO_0000006,0.5388116614385671
DED100B,2nd Chemical/substance listed,substance unit,http://purl.obolibrary.org/obo/UO_0000006,0.5432987663141039
DED100C,3rd Chemical/substance listed,substance unit,http://purl.obolibrary.org/obo/UO_0000006,0.5282053021914038
DED100D,4th Chemical/substance listed,substance unit,http://purl.obolibrary.org/obo/UO_0000006,0.53213217217197
DIQ060U,Unit of measure (month/year),month based unit,http://purl.obolibrary.org/obo/UO_1000035,0.5759809501952781
KIQ060,Frequency of bladder control problem,frequency unit,http://purl.obolibrary.org/obo/UO_0000105,0.5351921725827714
KIQ300,Radiation treatments for prostate cancer,radiation unit,http://purl.obolibrary.org/obo/UO_0000127,0.58253008033352
MCQ100,Told have high blood pressure,pressure unit,http://purl.obolibrary.org/obo/UO_0000109,0.5016186740008367
MCQ117U,Months or years,month,http://purl.obolibrary.org/obo/UO_0000035,0.5159238557994874
MPQ120ae,Right foot affected,foot,http://purl.obolibrary.org/obo/UO_0010013,0.5451254013203133
MPQ120af,Left foot affected,foot,http://purl.obolibrary.org/obo/UO_0010013,0.5483265218946937
OCQ160,Worked at all last week?,week,http://purl.obolibrary.org/obo/UO_0000034,0.5248059240361056
PUD010,Pest control in home in past month?,month,http://purl.obolibrary.org/obo/UO_0000035,0.5149093340016384
PUD040,Home have private yard?,yard,http://purl.obolibrary.org/obo/UO_0010014,0.5592910415362072
PUD060,Pest control in yard in past month?,yard,http://purl.obolibrary.org/obo/UO_0010014,0.5429813654995383
PUD071,Non-professional treated yard?,yard,http://purl.obolibrary.org/obo/UO_0010014,0.5233859517529932
PUD073,Professional treated yard?,yard,http://purl.obolibrary.org/obo/UO_0010014,0.5517047981027415
PUD074,# treatments in yard by professional,yard,http://purl.obolibrary.org/obo/UO_0010014,0.5133854315289744
PAD080,How long per day (minutes),gray per minute,http://purl.obolibrary.org/obo/UO_0010060,0.5650025612817464
PAQ050U,Unit of measure (day/week/month),week based unit,http://purl.obolibrary.org/obo/UO_1000034,0.5530177259053272
PFQ060b,Walking for a quarter mile difficulty,quarter,http://purl.obolibrary.org/obo/UO_0010036,0.5014084604747556
RHD120,Monthly frequency of hot flashes,frequency unit,http://purl.obolibrary.org/obo/UO_0000105,0.5434223164545002
SMD100LN,Length in Millimeters,millimeter,http://purl.obolibrary.org/obo/UO_0000016,0.697429919313888
SMQ050U,Unit of measure (day/week/month/year),week based unit,http://purl.obolibrary.org/obo/UO_1000034,0.520369154158407
WHD170,Age when lightest weight,light unit,http://purl.obolibrary.org/obo/UO_0000157,0.5505264696183758
DMDYRSUS,Length of time in US,length unit,http://purl.obolibrary.org/obo/UO_0000001,0.7266137040899807
DRD370I,Perch eaten during past 30 days,perch,http://purl.obolibrary.org/obo/UO_0010023,0.5440006841789901
DRD370IQ,# of times perch eaten in past 30 days,perch,http://purl.obolibrary.org/obo/UO_0010023,0.5526629048100907
DRDDAY,Intake day of the week,week,http://purl.obolibrary.org/obo/UO_0000034,0.6111366530598469
DRXTKCAL,Energy (kcal),energy unit,http://purl.obolibrary.org/obo/UO_0000111,0.7604036786375266
DRDDAY,Intake day of week,week,http://purl.obolibrary.org/obo/UO_0000034,0.6111366530598469
DRXIGRMS,Grams,gram,http://purl.obolibrary.org/obo/UO_0000021,0.6730158798199731
DRXIKCAL,Energy (kcal),energy unit,http://purl.obolibrary.org/obo/UO_0000111,0.7604036786375266
DSD070,Was container seen?,amount per container,http://purl.obolibrary.org/obo/UO_0000276,0.5185535892117161
DSD122U,Dosage form,dosage unit,http://purl.obolibrary.org/obo/UO_0000310,0.7694401810402656
DX2HEA,Head Area (cm^2),area unit,http://purl.obolibrary.org/obo/UO_0000047,0.5380302143188849
DX2HEBMD,Head Bone Mineral Density (g/cm^2),density unit,http://purl.obolibrary.org/obo/UO_0000182,0.537582382567371
DX2HEPF,Head Percent Fat,percent,http://purl.obolibrary.org/obo/UO_0000187,0.6720782069541846
DX2LAA,Left Arm Area (cm^2),area unit,http://purl.obolibrary.org/obo/UO_0000047,0.5810505533188127
DX2LAPF,Left Arm Percent Fat,percent,http://purl.obolibrary.org/obo/UO_0000187,0.6282851753452992
DX2LLPF,Left Leg Percent Fat,percent,http://purl.obolibrary.org/obo/UO_0000187,0.5977742190634844
DX2RAA,Right Arm Area (cm^2),area unit,http://purl.obolibrary.org/obo/UO_0000047,0.5770972780141548
DX2RAPF,Right Arm Percent Fat,percent,http://purl.obolibrary.org/obo/UO_0000187,0.6241431847061065
DX2RLPF,Right Leg Percent Fat,percent,http://purl.obolibrary.org/obo/UO_0000187,0.6137307290113108
DX2STPF,Subtotal Percent Fat,percent,http://purl.obolibrary.org/obo/UO_0000187,0.5496111243929485
DX2TOA,Total Area (cm^2),area unit,http://purl.obolibrary.org/obo/UO_0000047,0.5455133241796217
DX2TOBCC,Total Bone Mineral Density Validity Code,density unit,http://purl.obolibrary.org/obo/UO_0000182,0.5471097208083945
DX2TOBMD,Total Bone Mineral Density (g/cm^2),density unit,http://purl.obolibrary.org/obo/UO_0000182,0.5327970449102694
DX2TOPF,Total Percent Fat,percent,http://purl.obolibrary.org/obo/UO_0000187,0.6802682325040766
DX2TRPF,Trunk Percent Fat,percent,http://purl.obolibrary.org/obo/UO_0000187,0.5767398020064342
AUAFMANL,Frequency Switch to Manual Mode Left,frequency unit,http://purl.obolibrary.org/obo/UO_0000105,0.5305880916947181
AUAFMANR,Frequency-Switch to Manual Mode Right,frequency unit,http://purl.obolibrary.org/obo/UO_0000105,0.5292754956485742
AUXLOABN,Other Exam Abnormality Left Ear?,unit of normality,http://purl.obolibrary.org/obo/UO_0000074,0.5272223410677889
AUXOTSPL,Normal Otoscopy Left Ear?,normal,http://purl.obolibrary.org/obo/UO_0000075,0.5129381461887415
AUXROABN,Other Exam Abnormality Right Ear?,unit of normality,http://purl.obolibrary.org/obo/UO_0000074,0.5252099805750383
AUXROTSP,Normal Otoscopy Right Ear?,normal,http://purl.obolibrary.org/obo/UO_0000075,0.5112307577043356
AUXTPVL,Physical Volume-Tymp Left ear in cc,volume per unit volume,http://purl.obolibrary.org/obo/UO_0000205,0.5198019865183343
AUXTPVR,Physical Volume-Tymp Right Ear in cc,volume per unit volume,http://purl.obolibrary.org/obo/UO_0000205,0.5183009026196118
BAXFTC11,Cond 1 Trial 1 Failure Time(seconds),second,http://purl.obolibrary.org/obo/UO_0000010,0.5448422191304709
BAXFTC12,Cond 1 Trial 2 Failure Time(seconds),second,http://purl.obolibrary.org/obo/UO_0000010,0.5608463298681332
BAXFTC21,Cond 2 Trial 1 Failure Time(seconds),second,http://purl.obolibrary.org/obo/UO_0000010,0.5608463298681332
BAXFTC22,Cond 2 Trial 2 Failure Time(seconds),second,http://purl.obolibrary.org/obo/UO_0000010,0.5496399153525204
BAXFTC31,Cond 3 Trial 1 Failure Time(seconds),second,http://purl.obolibrary.org/obo/UO_0000010,0.5583796018357629
BAXFTC32,Cond 3 Trial 2 Failure Time(seconds),second,http://purl.obolibrary.org/obo/UO_0000010,0.5596581931021298
BAXFTC41,Cond 4 Trial 1 Failure Time(seconds),second,http://purl.obolibrary.org/obo/UO_0000010,0.5583574289209843
BAXFTC42,Cond 4 Trial 2 Failure Time(seconds),second,http://purl.obolibrary.org/obo/UO_0000010,0.5596358675281569
BIDFC,Characteristic frequency (KHz),frequency unit,http://purl.obolibrary.org/obo/UO_0000105,0.6069442791920788
