"OSQ060.Code.or.Value","OSQ060.Value.Description","OSQ060.Count","OSQ060.Cumulative","OSQ060.Skip.to.Item"
"1","Yes",395,395,""
"2","No",5515,5910,"OSQ130"
"7","Refused",0,5910,"OSQ130"
"9","Don't know",25,5935,"OSQ130"
".","Missing",0,5935,""
