"OSQ020a.Code.or.Value","OSQ020a.Value.Description","OSQ020a.Count","OSQ020a.Cumulative","OSQ020a.Skip.to.Item"
"1","1",71,71,""
"2","2",9,80,""
"3","3",2,82,""
"7777","Refused",0,82,"OSQ010b"
"9999","Don't know",1,83,"OSQ010b"
".","Missing",3732,3815,""
