"VTQ250B.Code.or.Value","VTQ250B.Value.Description","VTQ250B.Count","VTQ250B.Cumulative","VTQ250B.Skip.to.Item"
"1 to 72","Range of Values",107,107,NA
"777","Refused",0,107,NA
"999","Don't know",1,108,NA
".","Missing",3307,3415,NA
