"LBCBR6.Code.or.Value","LBCBR6.Value.Description","LBCBR6.Count","LBCBR6.Cumulative","LBCBR6.Skip.to.Item"
"4.383 to 140.6","Range of Values",251,251,NA
".","Missing",0,251,NA
