"HID030D.Code.or.Value","HID030D.Value.Description","HID030D.Count","HID030D.Cumulative","HID030D.Skip.to.Item"
"1","Yes",534,534,NA
"2","No",7123,7657,NA
"7","Refused",17,7674,NA
"9","Don't know",62,7736,NA
".","Missing",2229,9965,NA
