"MCD093.Code.or.Value","MCD093.Value.Description","MCD093.Count","MCD093.Cumulative","MCD093.Skip.to.Item"
"1","Before 1972",94,94,NA
"2","1972 - 1991",146,240,NA
"3","1992 to present",387,627,NA
"7","Refused",1,628,NA
"9","Don't know",32,660,NA
".","Missing",8915,9575,NA
