"DR1TCHL.Code.or.Value","DR1TCHL.Value.Description","DR1TCHL.Count","DR1TCHL.Cumulative","DR1TCHL.Skip.to.Item"
"0 to 1685.9","Range of Values",8389,8389,NA
".","Missing",949,9338,NA
