"LBXT3F.Code.or.Value","LBXT3F.Value.Description","LBXT3F.Count","LBXT3F.Cumulative","LBXT3F.Skip.to.Item"
"1.73 to 10.37","Range of Values",1965,1965,NA
".","Missing",212,2177,NA
