"RFXC150.Code.or.Value","RFXC150.Value.Description","RFXC150.Count","RFXC150.Cumulative","RFXC150.Skip.to.Item"
"-7.25 to 7.255","Range of Values",51052,51052,NA
".","Missing",24,51076,NA
