"DR2TIRON.Code.or.Value","DR2TIRON.Value.Description","DR2TIRON.Count","DR2TIRON.Cumulative","DR2TIRON.Skip.to.Item"
"0 to 124.81","Range of Values",7453,7453,NA
".","Missing",2360,9813,NA
