"MCQ260GA.Code.or.Value","MCQ260GA.Value.Description","MCQ260GA.Count","MCQ260GA.Cumulative","MCQ260GA.Skip.to.Item"
"1","Mother",132,132,NA
"77","Refused",0,132,NA
"99","Don't know",0,132,NA
".","Missing",9513,9645,NA
