"URDUA3LC.Code.or.Value","URDUA3LC.Value.Description","URDUA3LC.Count","URDUA3LC.Cumulative","URDUA3LC.Skip.to.Item"
"0","At or above the detection limit",1640,1640,NA
"1","Below lower detection limit",1454,3094,NA
".","Missing",185,3279,NA
