"DR2TVC.Code.or.Value","DR2TVC.Value.Description","DR2TVC.Count","DR2TVC.Cumulative","DR2TVC.Skip.to.Item"
"0 to 1051.4","Range of Values",7453,7453,NA
".","Missing",2360,9813,NA
