"DR2ILZ.Code.or.Value","DR2ILZ.Value.Description","DR2ILZ.Count","DR2ILZ.Cumulative","DR2ILZ.Skip.to.Item"
"0 to 123554","Range of Values",111931,111931,NA
".","Missing",647,112578,NA
