"DED051.Code.or.Value","DED051.Value.Description","DED051.Count","DED051.Cumulative","DED051.Skip.to.Item"
"1","Yes",331,331,NA
"2","No",3122,3453,NA
"7","Refused",1,3454,NA
"9","Don't know",85,3539,NA
".","Missing",0,3539,NA
