"SMD055.Code.or.Value","SMD055.Value.Description","SMD055.Count","SMD055.Cumulative","SMD055.Skip.to.Item"
"10 to 78","Range of Values",1345,1345,NA
"80","80 years or older",6,1351,NA
"777","Refused",0,1351,NA
"999","Don't know",12,1363,NA
".","Missing",5782,7145,NA
