"DS2TMFAT.Code.or.Value","DS2TMFAT.Value.Description","DS2TMFAT.Count","DS2TMFAT.Cumulative","DS2TMFAT.Skip.to.Item"
"0.0005 to 9","Range of Values",64,64,NA
".","Missing",9749,9813,NA
