"URXBP3.Code.or.Value","URXBP3.Value.Description","URXBP3.Count","URXBP3.Cumulative","URXBP3.Skip.to.Item"
"0.28 to 94100","Range of Values",2548,2548,NA
".","Missing",90,2638,NA
