"AUXRR247.Code.or.Value","AUXRR247.Value.Description","AUXRR247.Count","AUXRR247.Cumulative","AUXRR247.Skip.to.Item"
"-24 to 39","Range of Values",2752,2752,NA
".","Missing",282,3034,NA
