"LBXSKSI.Code.or.Value","LBXSKSI.Value.Description","LBXSKSI.Count","LBXSKSI.Cumulative","LBXSKSI.Skip.to.Item"
"2.5 to 6.8","Range of Values",6891,6891,NA
".","Missing",554,7445,NA
