"DR2IFDFE.Code.or.Value","DR2IFDFE.Value.Description","DR2IFDFE.Count","DR2IFDFE.Cumulative","DR2IFDFE.Skip.to.Item"
"0 to 4734","Range of Values",120673,120673,NA
".","Missing",668,121341,NA
