"URXNO3.Code.or.Value","URXNO3.Value.Description","URXNO3.Count","URXNO3.Cumulative","URXNO3.Skip.to.Item"
"494.9747 to 1540000","Range of Values",2844,2844,NA
".","Missing",97,2941,NA
