"DS1IVB1.Code.or.Value","DS1IVB1.Value.Description","DS1IVB1.Count","DS1IVB1.Cumulative","DS1IVB1.Skip.to.Item"
"0.0132 to 200","Range of Values",1741,1741,NA
".","Missing",3982,5723,NA
