"BIXC177K.Code.or.Value","BIXC177K.Value.Description","BIXC177K.Count","BIXC177K.Cumulative","BIXC177K.Skip.to.Item"
"22.45 to 118.81","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
