"VIQ160.Code.or.Value","VIQ160.Value.Description","VIQ160.Count","VIQ160.Cumulative","VIQ160.Skip.to.Item"
"1","Yes",1551,1551,""
"2","No",192,1743,"VIXNC1"
".","Missing",5015,6758,""
