"LBCF09LA.Code.or.Value","LBCF09LA.Value.Description","LBCF09LA.Count","LBCF09LA.Cumulative","LBCF09LA.Skip.to.Item"
"0.0543 to 0.602","Range of Values",246,246,NA
".","Missing",1,247,NA
