"LBCHCB.Code.or.Value","LBCHCB.Value.Description","LBCHCB.Count","LBCHCB.Cumulative","LBCHCB.Skip.to.Item"
"18.67 to 244.4","Range of Values",251,251,NA
".","Missing",0,251,NA
