"DXXGYTOM.Code.or.Value","DXXGYTOM.Value.Description","DXXGYTOM.Count","DXXGYTOM.Cumulative","DXXGYTOM.Skip.to.Item"
"1852.5 to 30962.4","Range of Values",5426,5426,NA
".","Missing",607,6033,NA
