"DR1IBCAR.Code.or.Value","DR1IBCAR.Value.Description","DR1IBCAR.Count","DR1IBCAR.Cumulative","DR1IBCAR.Skip.to.Item"
"0 to 112742","Range of Values",120433,120433,NA
".","Missing",1048,121481,NA
