"DR2TM161.Code.or.Value","DR2TM161.Value.Description","DR2TM161.Count","DR2TM161.Cumulative","DR2TM161.Skip.to.Item"
"0 to 16.912","Range of Values",8220,8220,NA
".","Missing",1423,9643,NA
