"MCQ220.Code.or.Value","MCQ220.Value.Description","MCQ220.Count","MCQ220.Cumulative","MCQ220.Skip.to.Item"
"1","Yes",576,576,""
"2","No",5348,5924,"MCQ245A"
"7","Refused",0,5924,"MCQ245A"
"9","Don't know",11,5935,"MCQ245A"
".","Missing",3731,9666,""
