"SPXNEV.Code.or.Value","SPXNEV.Value.Description","SPXNEV.Count","SPXNEV.Cumulative","SPXNEV.Skip.to.Item"
"0 to 285","Range of Values",6650,6650,NA
".","Missing",845,7495,NA
