"LBDODTLC.Code.or.Value","LBDODTLC.Value.Description","LBDODTLC.Count","LBDODTLC.Cumulative","LBDODTLC.Skip.to.Item"
"0","At or above the detection limit",115,115,NA
"1","Below lower detection limit",1831,1946,NA
".","Missing",391,2337,NA
