"LBDD02LC.Code.or.Value","LBDD02LC.Value.Description","LBDD02LC.Count","LBDD02LC.Cumulative","LBDD02LC.Skip.to.Item"
"0","At or above the detection limit",201,201,NA
"1","Below lower detection limit",46,247,NA
".","Missing",17,264,NA
