"LBDBHC.Code.or.Value","LBDBHC.Value.Description","LBDBHC.Count","LBDBHC.Cumulative","LBDBHC.Skip.to.Item"
"0.01288 to 6.010452","Range of Values",1893,1893,NA
".","Missing",381,2274,NA
