"OPDUHD.Code.or.Value","OPDUHD.Value.Description","OPDUHD.Count","OPDUHD.Cumulative","OPDUHD.Skip.to.Item"
"0","No",928,928,NA
"1","Yes",1484,2412,NA
".","Missing",522,2934,NA
