"DEQ034A.Code.or.Value","DEQ034A.Value.Description","DEQ034A.Count","DEQ034A.Cumulative","DEQ034A.Skip.to.Item"
"1","always",301,301,""
"2","Most of the time",788,1089,""
"3","sometimes",1130,2219,""
"4","rarely, or",508,2727,""
"5","Never?",360,3087,""
"6","DON'T GO OUT IN THE SUN",48,3135,"DEQ038G"
"77","Refused",0,3135,""
"99","Don't know",3,3138,""
".","Missing",2,3140,""
