"RXQ510.Code.or.Value","RXQ510.Value.Description","RXQ510.Count","RXQ510.Cumulative","RXQ510.Skip.to.Item"
"1","Yes",1335,1335,""
"2","No",2264,3599,"RXQ520"
"7","Refused",1,3600,"RXQ520"
"9","Don't know",2,3602,"RXQ520"
".","Missing",1,3603,""
