"DS2ILYCO.Code.or.Value","DS2ILYCO.Value.Description","DS2ILYCO.Count","DS2ILYCO.Cumulative","DS2ILYCO.Skip.to.Item"
"33 to 20000","Range of Values",486,486,NA
".","Missing",5213,5699,NA
