"RFXT063.Code.or.Value","RFXT063.Value.Description","RFXT063.Count","RFXT063.Cumulative","RFXT063.Skip.to.Item"
"539 to 548","Range of Values",51064,51064,NA
".","Missing",12,51076,NA
