"URXPPB.Code.or.Value","URXPPB.Value.Description","URXPPB.Count","URXPPB.Cumulative","URXPPB.Skip.to.Item"
"0.14 to 3320","Range of Values",2489,2489,NA
".","Missing",105,2594,NA
