"LBXSAPSI.Code.or.Value","LBXSAPSI.Value.Description","LBXSAPSI.Count","LBXSAPSI.Cumulative","LBXSAPSI.Skip.to.Item"
"14 to 679","Range of Values",6375,6375,NA
".","Missing",542,6917,NA
