"LBXSLDSI.Code.or.Value","LBXSLDSI.Value.Description","LBXSLDSI.Count","LBXSLDSI.Cumulative","LBXSLDSI.Skip.to.Item"
"51 to 618","Range of Values",6256,6256,NA
".","Missing",488,6744,NA
