"CVXS2RPE.Code.or.Value","CVXS2RPE.Value.Description","CVXS2RPE.Count","CVXS2RPE.Cumulative","CVXS2RPE.Skip.to.Item"
"6 to 20","Range of Values",2605,2605,NA
".","Missing",1997,4602,NA
