"DS2ILZ.Code.or.Value","DS2ILZ.Value.Description","DS2ILZ.Count","DS2ILZ.Cumulative","DS2ILZ.Skip.to.Item"
"5 to 24000","Range of Values",543,543,NA
".","Missing",5156,5699,NA
