"DBD100.Code.or.Value","DBD100.Value.Description","DBD100.Count","DBD100.Cumulative","DBD100.Skip.to.Item"
"1","Rarely",2980,2980,NA
"2","Occasionally",1791,4771,NA
"3","Very often",1195,5966,NA
"7","Refused",0,5966,NA
"9","Don't know",7,5973,NA
".","Missing",4280,10253,NA
