"RFXT045.Code.or.Value","RFXT045.Value.Description","RFXT045.Count","RFXT045.Cumulative","RFXT045.Skip.to.Item"
"380 to 389","Range of Values",51066,51066,NA
".","Missing",10,51076,NA
