"DR2TP204.Code.or.Value","DR2TP204.Value.Description","DR2TP204.Count","DR2TP204.Cumulative","DR2TP204.Skip.to.Item"
"0 to 1.291","Range of Values",7715,7715,NA
".","Missing",2047,9762,NA
