"OSD030bd.Code.or.Value","OSD030bd.Value.Description","OSD030bd.Count","OSD030bd.Cumulative","OSD030bd.Skip.to.Item"
"11 to 27","Range of Values",9,9,NA
"80","80 or older",0,9,NA
"77777","Refused",0,9,NA
"99999","Don't know",1,10,NA
".","Missing",5925,5935,NA
