"URXUAB.Code.or.Value","URXUAB.Value.Description","URXUAB.Count","URXUAB.Cumulative","URXUAB.Skip.to.Item"
"0.28 to 874","Range of Values",2576,2576,NA
".","Missing",144,2720,NA
