"WBXF012.Code.or.Value","WBXF012.Value.Description","WBXF012.Count","WBXF012.Cumulative","WBXF012.Skip.to.Item"
"471.9372 to 471.9372","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
