"DRD370MQ.Code.or.Value","DRD370MQ.Value.Description","DRD370MQ.Count","DRD370MQ.Cumulative","DRD370MQ.Skip.to.Item"
"1 to 30","Range of Values",1596,1596,NA
".","Missing",8166,9762,NA
