"DMDEDUC.Code.or.Value","DMDEDUC.Value.Description","DMDEDUC.Count","DMDEDUC.Cumulative","DMDEDUC.Skip.to.Item"
"1","Less Than High School",5124,5124,NA
"2","High School Diploma (including GED)",1286,6410,NA
"3","More Than High School",1971,8381,NA
"7","Refused",10,8391,NA
"9","Don't know",15,8406,NA
".","Missing",1559,9965,NA
