"LBDVSTLC.Code.or.Value","LBDVSTLC.Value.Description","LBDVSTLC.Count","LBDVSTLC.Cumulative","LBDVSTLC.Skip.to.Item"
"0","detectable result",516,516,NA
"1","below detectable limit",432,948,NA
"2","detectable result and exceeds the calibrated range of assay",2,950,NA
".","Missing",499,1449,NA
