"BPQ090D.Code.or.Value","BPQ090D.Value.Description","BPQ090D.Count","BPQ090D.Cumulative","BPQ090D.Skip.to.Item"
"1","Yes",897,897,NA
"2","No",609,1506,NA
"7","Refused",0,1506,NA
"9","Don't know",4,1510,NA
".","Missing",4703,6213,NA
