"CIQD075.Code.or.Value","CIQD075.Value.Description","CIQD075.Count","CIQD075.Cumulative","CIQD075.Skip.to.Item"
"2 to 150","Range of Values",10,10,NA
"7777","Refuse",0,10,NA
"9999","Don't know",1,11,NA
".","Missing",917,928,NA
