"DXXGYFM.Code.or.Value","DXXGYFM.Value.Description","DXXGYFM.Count","DXXGYFM.Cumulative","DXXGYFM.Skip.to.Item"
"560.9 to 12493.3","Range of Values",6235,6235,NA
".","Missing",1421,7656,NA
