"PFD069dU.Code.or.Value","PFD069dU.Value.Description","PFD069dU.Count","PFD069dU.Cumulative","PFD069dU.Skip.to.Item"
"1","Days",0,0,NA
"2","Weeks",1,1,NA
"3","Months",15,16,NA
"4","Years",119,135,NA
"7","Refused",0,135,NA
"9","Don't know",0,135,NA
".","Missing",9358,9493,NA
