"URXUMO.Code.or.Value","URXUMO.Value.Description","URXUMO.Count","URXUMO.Cumulative","URXUMO.Skip.to.Item"
"1.43 to 1200","Range of Values",2528,2528,NA
".","Missing",77,2605,NA
