"SSSHBG.Code.or.Value","SSSHBG.Value.Description","SSSHBG.Count","SSSHBG.Cumulative","SSSHBG.Skip.to.Item"
"4.94 to 234.3","Range of Values",402,402,NA
".","Missing",12,414,NA
